skv,X,Y,H,Ip,Il,W,r,rs,e,WL,Wp,jn,E12mk.w,jw,rd,d0.3,cluster,qname
136,464932.74435100006,90054.1791,5.2,11.0,0.24,22.0,2.01,2.72,0.65,30.0,20.0,,,,1.65,,Q,L.epI
203,461914.648318,89669.12811199998,15.2,16.5,0.24,21.7,2.05,2.7,0.601,33.3,16.8,,,,1.69,,Q,L.epIII-H
303,460584.0110275,89827.98013119998,17.3,31.7,0.24,35.6,1.88,2.76,0.993,59.6,27.9,,,,1.39,,N,mIIIkg
1402,460468.00655859994,89747.57307439997,9.4,20.0,0.24,27.7,1.97,2.72,0.76,43.0,23.0,,,,1.54,,Q,mIIIkg
1426,460633.6945525,89843.42660559998,5.1,26.0,0.24,40.2,,,,60.0,34.0,,,,,,,mIIIkg
1426,460633.6945525,89843.42660559998,6.9,25.0,0.24,43.0,,,,62.0,37.0,,,,,,,mIIIkg
1428,460932.8268700001,89851.16523439997,2.9,35.0,0.24,47.4,,,,74.0,39.0,,,,,,,edH
1428,460932.8268700001,89851.16523439997,5.1,35.0,0.24,48.5,,,,75.0,40.0,,,,,,,edH
1446,461232.1016761,89893.65943439997,9.2,28.0,0.24,36.7,,,,58.0,30.0,,,,,,,edH
1479,461071.6595125001,89573.35086959998,7.2,13.0,0.24,20.1,,,,30.0,17.0,,,,,,,L.epIII-H
1499,460302.68978500005,89809.99605039998,7.1,40.0,0.24,51.7,,,,82.0,42.0,,,,,,,mHn
1499,460302.68978500005,89809.99605039998,9.3,39.0,0.24,51.5,,,,81.0,42.0,,,,,,,mHn
1504,460241.6634175,89808.47428960001,9.8,29.0,0.24,47.9,,,,70.0,41.0,,,,,,,mHn
1507,460324.2993061,89835.77363439999,9.8,32.0,0.24,52.6,,,,77.0,45.0,,,,,,,mHn
1513,460375.05899499997,89792.74005919998,16.0,30.0,0.24,52.1,,,,75.0,45.0,,,,,,,mIIIkg
1513,460375.05899499997,89792.74005919998,24.0,31.0,0.24,50.3,,,,74.0,43.0,,,,,,,mIIIkg
1561,460927.6710325001,89892.2112856,6.9,42.0,0.24,54.2,,,,86.0,44.0,,,,,,,edH
1564,460676.534875,89548.0711704,14.6,33.0,0.24,42.9,1.78,2.75,1.21,68.0,35.0,,,,1.25,,N,mIIIkg
1565,460667.11562859995,89574.12848,11.2,42.0,0.24,51.0,,,,83.0,41.0,,,,,,,mIIIkg
1565,460667.11562859995,89574.12848,15.0,42.0,0.24,51.2,,,,83.0,41.0,,,,,,,mIIIkg
1567,460637.3992561,89598.68811999998,15.3,24.0,0.24,30.8,,,,49.0,25.0,,,,,,,mIIIkg
1568,460637.3992561,89598.68811999998,15.3,24.0,0.24,30.8,,,,49.0,25.0,,,,,,,mIIIkg
1570,460233.88278999995,89765.3604104,0.8,17.0,0.24,26.0,,,,39.0,22.0,,,,,,,mHn
83?,472071.6744409,90106.3673312,4.3,17.7,0.24,23.1,2.05,2.74,0.643,36.6,18.9,,,,1.67,,Q,
61,464054.03965299996,89608.95632479998,2.1,0.32,0.25,35.0,1.84,2.76,,58.0,27.0,,,,,,,edH
149,466210.679608,90181.7834944,11.8,12.0,0.25,24.0,1.91,2.7,0.75,33.0,21.0,,,,1.54,,Q,pH
152,466968.60271929996,90247.4627976,9.9,15.2,0.25,23.4,,,,34.8,19.6,,,,,,,L.epI
203,461914.648318,89669.12811199998,0.5,19.1,0.25,22.5,1.94,2.7,0.706,36.9,17.8,,,,1.58,,Q,L.epIII-H
511,461071.24517065,89900.908382792,2.5,30.2,0.25,35.8,1.83,2.75,1.039,58.4,28.2,,,,1.35,,N,edH
1430,461234.2090075,89841.52875439999,7.3,17.0,0.25,23.3,,,,36.0,19.0,,,,,,,edH
1488,461220.3351175,89518.78563999999,4.9,13.0,0.25,20.3,,,,30.0,17.0,,,,,,,L.epIII-H
1563,460683.0031075,89521.63777039998,9.1,19.0,0.25,27.7,,,,42.0,23.0,,,,,,,pH
123,463939.598809,89632.98060479997,6.2,27.0,0.26,40.0,1.78,2.75,1.16,60.0,33.0,,,,1.27,,N,edH
125,464098.19537026,89690.80981724801,12.5,27.0,0.26,40.0,1.79,2.75,1.15,60.0,33.0,,,,1.28,,N,edH
543,463916.9044996901,89659.228114424,2.7,35.2,0.26,42.0,1.74,2.8,1.2819999999999998,68.0,32.8,,,,1.23,,N,edH
1516,460836.1333561,89837.8775992,12.1,17.0,0.26,34.5,,,,47.0,30.0,,,,,,,L.epI
1517,460873.25538610003,89836.06540559998,9.4,35.0,0.26,47.2,,,,73.0,38.0,,,,,,,edH
1537,461045.9740675,89597.70974959998,9.5,30.0,0.26,37.8,,,,60.0,30.0,,,,,,,L.epIII-H
1567,460637.3992561,89598.68811999998,10.8,24.0,0.26,29.2,1.95,2.7,0.79,47.0,23.0,,,,1.51,,Q,mIIIkg
124,464084.86706161,89685.93007776799,14.5,22.0,0.27,35.0,1.76,2.73,1.09,51.0,29.0,,,,1.3,,N,edH
124,464084.86706161,89685.93007776799,22.9,21.9,0.27,37.5,1.75,2.73,1.144,53.5,31.6,,,,1.27,,N,edH
155,467444.5795131101,90288.84298036,6.4,21.1,0.27,24.9,1.86,2.8,0.88,40.2,19.1,,,,1.49,,Q,pH
1424,460351.8596011,89846.1167896,6.2,28.0,0.27,51.5,,,,72.0,44.0,,,,,,,mHn
1438,460630.50730750005,89789.89060560001,9.1,28.0,0.27,34.7,,,,55.0,27.0,,,,,,,L.epIII-H
1439,460782.13767609996,89788.7957944,6.5,17.0,0.27,23.6,,,,36.0,19.0,,,,,,,L.epI
1450,460780.3565686,89735.04565039997,7.1,23.0,0.27,26.3,,,,43.0,20.0,,,,,,,L.epI
1505,460285.86488109996,89815.9439,9.5,32.0,0.27,51.5,,,,75.0,43.0,,,,,,,mHn
1566,460637.3992561,89598.68811999998,16.3,38.0,0.27,47.3,1.74,2.69,1.28,75.0,37.0,,,,1.18,,N,mIIIkg
1566,460637.3992561,89598.68811999998,16.7,38.0,0.27,47.1,1.74,2.68,1.27,75.0,37.0,,,,1.18,,N,mIIIkg
1567,460637.3992561,89598.68811999998,11.0,18.0,0.27,26.9,1.98,2.69,0.72,40.0,22.0,,,,1.56,,Q,mIIIkg
1567,460637.3992561,89598.68811999998,11.2,23.0,0.27,29.1,1.95,2.7,0.79,46.0,23.0,,,,1.51,,Q,mIIIkg
1568,460637.3992561,89598.68811999998,0.9,13.0,0.27,23.5,,,,33.0,20.0,,,,,,,mIIIkg
1438,460630.50730750005,89789.89060560001,5.5,32.0,0.28,35.9,,,,59.0,27.0,,,,,,,L.epIII-H
1469,460775.01324609993,89628.49294960001,9.6,21.0,0.28,27.8,,,,43.0,22.0,,,,,,,L.epIII-H
1511,460327.7677785999,89802.02454,9.0,30.0,0.28,45.3,,,,67.0,37.0,,,,,,,mHn
1529,460392.40135750006,89817.11098479998,5.0,38.0,0.28,50.7,,,,78.0,40.0,,,,,,,mHn
1529,460392.40135750006,89817.11098479998,9.0,36.0,0.28,54.1,,,,80.0,44.0,,,,,,,mHn
1535,461080.377565,89617.20889919998,6.5,11.0,0.28,19.1,,,,27.0,16.0,,,,,,,L.epIII-H
1571,460221.696265,89822.93703999998,7.2,33.0,0.28,45.4,,,,69.0,36.0,,,,,,,mHn
1572,460257.88087000005,89846.54775439997,5.3,26.0,0.28,36.3,,,,55.0,29.0,,,,,,,mHn
72,462973.37611300003,89629.84339519998,16.5,0.45,0.29,44.0,1.73,2.77,1.306,76.0,31.0,,,,1.2,,N,L.epIII-H
306,461238.95612770005,89789.87320639998,17.6,27.7,0.29,29.4,1.89,2.72,0.863,49.2,21.5,,,,1.46,,Q,L.epI
544,463996.90847386,89687.69930872801,0.9,19.1,0.29,25.7,1.91,2.73,0.7979999999999999,39.3,20.2,,,,1.52,,Q,edH
1424,460351.8596011,89846.1167896,4.1,29.0,0.29,54.3,,,,75.0,46.0,,,,,,,mHn
1513,460375.05899499997,89792.74005919998,9.0,25.0,0.29,33.3,,,,51.0,26.0,,,,,,,mIIIkg
1566,460637.3992561,89598.68811999998,16.5,38.0,0.29,47.2,1.74,2.68,1.27,74.0,36.0,,,,1.18,,N,mIIIkg
113,472012.44043,90217.0543496,17.7,29.0,0.3,34.0,1.86,2.75,,54.0,26.0,,,,,,,
149,466210.679608,90181.7834944,10.5,10.0,0.3,22.0,1.96,2.7,0.68,29.0,19.0,,,,1.61,,Q,pH
1424,460351.8596011,89846.1167896,9.1,28.0,0.3,54.3,,,,74.0,46.0,,,,,,,mHn
1460,460777.6380361,89681.79071439998,12.5,17.0,0.3,26.1,,,,38.0,21.0,,,,,,,L.epIII-H
1485,460770.23237859993,89521.5039304,9.2,26.0,0.3,34.8,,,,53.0,27.0,,,,,,,pH
122,463850.95590100007,89600.5578648,3.2,25.0,0.31,39.0,1.88,2.68,0.98,56.0,31.0,,,,1.35,,N,edH
1438,460630.50730750005,89789.89060560001,7.2,28.0,0.31,33.7,,,,53.0,25.0,,,,,,,L.epIII-H
1439,460782.13767609996,89788.7957944,8.1,17.0,0.31,25.3,,,,37.0,20.0,,,,,,,L.epI
1485,460770.23237859993,89521.5039304,7.2,26.0,0.31,35.1,,,,53.0,27.0,,,,,,,pH
1506,460342.7665785999,89824.9821152,5.5,33.0,0.31,54.2,,,,77.0,44.0,,,,,,,mHn
1538,461090.68924,89603.06334960001,9.8,21.0,0.31,28.6,,,,43.0,22.0,,,,,,,L.epIII-H
62,464017.105108,89597.82886719998,0.55,0.27,0.32,38.0,1.77,2.76,,58.0,27.0,,,,,,,edH
105,464493.72947500006,89778.10599360001,3.8,0.38,0.32,41.0,1.9,2.77,,67.0,29.0,,,,,,,edH
109,462054.69961300003,89683.9990744,7.3,19.1,0.32,23.0,2.06,2.74,0.636,36.0,16.9,,,,1.67,,Q,L.epIII-H
123,463939.598809,89632.98060479997,5.4,24.0,0.32,38.0,1.82,2.8,1.03,54.0,30.0,,,,1.32,,N,edH
1469,460775.01324609993,89628.49294960001,3.1,12.0,0.32,22.8,,,,31.0,19.0,,,,,,,L.epIII-H
1477,460771.73225859995,89574.91947439998,7.2,12.0,0.32,19.8,,,,28.0,16.0,,,,,,,L.epIII-H
1516,460836.1333561,89837.8775992,8.5,37.0,0.32,48.7,,,,74.0,37.0,,,,,,,L.epI
1575,460552.8885175,89736.5981944,7.2,13.0,0.32,25.2,,,,34.0,21.0,,,,,,,L.epIII-H
84?,472083.3022606,90121.0375336,5.0,19.0,0.32,26.1,2.02,2.76,0.7240000000000001,39.1,20.1,,,,1.6,,Q,
132,464817.666058,89884.48336399999,5.5,30.0,0.33,45.0,1.75,2.76,1.29,65.0,35.0,,,,1.21,,N,edH
1398,460491.29969500005,89761.43755999998,9.6,21.0,0.33,27.9,1.97,2.72,0.77,42.0,21.0,,,,1.54,,Q,L.epIII-H
1420,460567.23111999995,89680.73203999997,1.0,15.0,0.33,19.9,,,,30.0,15.0,,,,,,,mIIIkg
1424,460351.8596011,89846.1167896,7.9,32.0,0.33,56.7,,,,78.0,46.0,,,,,,,mHn
1482,461523.1233925,89570.64864,5.1,25.0,0.33,32.3,,,,49.0,24.0,,,,,,,pH
1488,461220.3351175,89518.78563999999,7.1,12.0,0.33,20.9,,,,29.0,17.0,,,,,,,L.epIII-H
1511,460327.7677785999,89802.02454,5.0,29.0,0.33,40.6,,,,60.0,31.0,,,,,,,mHn
1536,461035.7111386,89612.82028560001,9.5,17.0,0.33,21.6,,,,33.0,16.0,,,,,,,L.epIII-H
66,462973.37611300003,89629.84339519998,17.1,0.35,0.34,40.0,1.83,2.76,1.111,62.0,28.0,,,,1.31,,Q,L.epIII-H
98,464971.516249,89944.8492192,3.55,0.38,0.34,42.0,1.78,2.77,,66.0,29.0,,,,,,,edH
123,463939.598809,89632.98060479997,4.2,26.0,0.34,41.0,1.79,2.68,1.11,58.0,32.0,,,,1.27,,N,edH
123,463939.598809,89632.98060479997,6.9,26.0,0.34,41.0,1.73,2.68,1.18,58.0,32.0,,,,1.23,,N,edH
125,464098.19537026,89690.80981724801,21.3,29.0,0.34,44.0,1.72,2.75,1.3,63.0,34.0,,,,1.19,,N,edH
1441,461080.8462775,89787.1094104,9.3,17.0,0.34,24.8,,,,36.0,19.0,,,,,,,edH
1450,460780.3565686,89735.04565039997,9.2,22.0,0.34,27.5,,,,42.0,20.0,,,,,,,L.epI
1483,461672.2227136,89570.33946959997,15.1,23.0,0.34,30.8,,,,46.0,23.0,,,,,,,L.epIII-H
1520,460796.3865361,89826.7688792,7.5,34.0,0.34,47.4,,,,70.0,36.0,,,,,,,L.epI
1520,460796.3865361,89826.7688792,9.8,36.0,0.34,49.2,,,,73.0,37.0,,,,,,,L.epI
1535,461080.377565,89617.20889919998,9.8,10.0,0.34,19.4,,,,26.0,16.0,,,,,,,L.epIII-H
1537,461045.9740675,89597.70974959998,0.8,14.0,0.34,24.8,,,,34.0,20.0,,,,,,,L.epIII-H
1571,460221.696265,89822.93703999998,5.1,34.0,0.34,50.5,,,,73.0,39.0,,,,,,,mHn
66,462973.37611300003,89629.84339519998,4.35,0.34,0.35,39.0,1.83,2.76,1.096,61.0,27.0,,,,1.32,,Q,L.epIII-H
67,462973.37611300003,89629.84339519998,8.8,0.26,0.35,34.0,1.89,2.74,0.943,50.0,25.0,,,,1.41,,Q,L.epIII-H
124,464084.86706161,89685.93007776799,9.9,27.2,0.35,39.7,1.77,,,57.5,30.3,,,,1.27,,,edH
154,467425.65927685,90283.000810824,23.0,18.5,0.35,24.6,1.99,2.72,0.705,36.7,18.2,,,,1.6,,Q,pH
504,460617.01663684007,89839.1641362,2.4,23.0,0.35,36.5,1.82,2.66,0.997,51.5,28.5,,,,1.33,,Q,mIIIkg
1486,460921.57777,89523.29470960001,9.2,17.0,0.35,25.0,,,,36.0,19.0,,,,,,,L.epIII-H
1487,461070.5346025,89519.78944,7.1,32.0,0.35,40.3,,,,61.0,29.0,,,,,,,pH
1506,460342.7665785999,89824.9821152,9.5,33.0,0.35,53.5,,,,75.0,42.0,,,,,,,mHn
72,462973.37611300003,89629.84339519998,9.55,0.42,0.36,45.0,1.75,2.77,1.295,72.0,30.0,,,,1.21,,N,L.epIII-H
109,462054.69961300003,89683.9990744,10.8,20.6,0.36,25.7,2.02,2.76,0.7170000000000001,38.9,18.3,,,,1.61,,Q,L.epIII-H
113,472012.44043,90217.0543496,15.5,33.0,0.36,39.0,1.76,2.76,,60.0,27.0,,,,,,,
1439,460782.13767609996,89788.7957944,9.7,17.0,0.36,25.1,,,,36.0,19.0,,,,,,,L.epI
1477,460771.73225859995,89574.91947439998,9.4,13.0,0.36,20.7,,,,29.0,16.0,,,,,,,L.epIII-H
125,464098.19537026,89690.80981724801,15.7,24.0,0.37,39.0,1.72,2.72,1.2,54.0,30.0,,,,1.24,,N,edH
1503,460274.33455359994,89828.44187919998,9.8,34.0,0.37,52.7,,,,74.0,40.0,,,,,,,mHn
1516,460836.1333561,89837.8775992,4.5,37.0,0.37,54.8,,,,78.0,41.0,,,,,,,L.epI
64,462973.37611300003,89629.84339519998,7.5,0.53,0.38,54.0,1.71,2.77,1.495,86.0,34.0,,,,1.11,,N,L.epIII-H
109,462054.69961300003,89683.9990744,5.9,18.3,0.38,23.2,1.99,2.74,0.6990000000000001,34.6,16.3,,,,1.62,,Q,L.epIII-H
1450,460780.3565686,89735.04565039997,4.3,26.0,0.38,28.8,,,,45.0,19.0,,,,,,,L.epI
1488,461220.3351175,89518.78563999999,9.3,12.0,0.38,21.6,,,,29.0,17.0,,,,,,,L.epIII-H
1509,460288.48967109993,89798.2181304,9.0,30.0,0.38,46.3,,,,65.0,35.0,,,,,,,mHn
1517,460873.25538610003,89836.06540559998,5.0,32.0,0.38,48.2,,,,68.0,36.0,,,,,,,edH
1572,460257.88087000005,89846.54775439997,7.2,22.0,0.38,34.4,,,,48.0,26.0,,,,,,,mHn
128,464198.965558,89727.72192560001,2.0,34.0,0.39,52.0,1.68,2.76,1.5,73.0,39.0,,,,1.11,,N,edH
1442,461230.6467925001,89786.31975439998,14.1,19.0,0.39,28.4,,,,40.0,21.0,,,,,,,L.epI
1483,461672.2227136,89570.33946959997,16.8,15.0,0.39,22.8,,,,32.0,17.0,,,,,,,L.epIII-H
1503,460274.33455359994,89828.44187919998,4.0,35.0,0.39,52.5,,,,74.0,39.0,,,,,,,mHn
1479,461071.6595125001,89573.35086959998,9.3,12.0,0.4,21.8,,,,29.0,17.0,,,,,,,L.epIII-H
1487,461070.5346025,89519.78944,9.3,32.0,0.4,42.9,,,,62.0,30.0,,,,,,,pH
1574,460779.74536750006,89762.4293144,6.5,23.0,0.4,34.1,,,,48.0,25.0,,,,,,,L.epI
6?,472014.2702836,89966.2970792,4.2,34.46420717,0.401909001,52.0,1.645,2.730753878,1.523249784,72.6127321,38.14852492,,,,1.082236842,,N,L.epIII-H
6?,472014.2702836,89966.2970792,2.55,30.45232615,0.403964814,48.05,1.71,2.623934598,1.271774955,66.20065789,35.74833174,,,,1.155015198,,N,L.epIII-H
19?,470776.46431600006,90328.6728944,4.6,29.87024854,0.404155399,39.85,1.76,2.639851253,1.097631805,57.64802632,27.77777778,,,,1.258491241,,N,L.epI
7?,472034.3874241,90013.24681279997,2.05,23.62928085,0.40439169,43.15,1.745,2.71,1.223131805,57.22379603,33.59451518,,,,1.219001048,,N,L.epIII-H
82,469467.294058,90224.7903016,2.65,0.61,0.41,62.0,1.6,2.77,,98.0,37.0,,,,,,,L.epII
124,464084.86706161,89685.93007776799,5.3,27.0,0.41,44.0,1.73,2.72,1.26,60.0,33.0,,,,1.2,,N,edH
1469,460775.01324609993,89628.49294960001,6.5,20.0,0.41,29.2,,,,41.0,21.0,,,,,,,L.epIII-H
1510,460297.4889511,89785.80447039998,14.0,37.0,0.41,66.3,,,,88.0,51.0,,,,,,,mHn
1520,460796.3865361,89826.7688792,4.5,35.0,0.41,48.2,,,,69.0,34.0,,,,,,,L.epI
128,464198.965558,89727.72192560001,8.0,35.0,0.42,54.0,1.6,2.76,1.66,74.0,39.0,,,,1.04,,N,edH
1481,461373.04165,89571.71935999997,9.3,13.0,0.42,24.5,,,,32.0,19.0,,,,,,,pH
1489,461369.1982075,89519.44279439998,9.2,19.0,0.42,28.0,,,,39.0,20.0,,,,,,,L.epIII-H
1513,460375.05899499997,89792.74005919998,13.0,30.0,0.42,47.7,,,,65.0,35.0,,,,,,,mIIIkg
1575,460552.8885175,89736.5981944,9.3,19.0,0.42,30.9,,,,42.0,23.0,,,,,,,L.epIII-H
128,464198.965558,89727.72192560001,3.4,31.0,0.43,50.0,1.68,2.76,1.46,68.0,37.0,,,,1.122,,N,edH
1451,460928.3759761,89734.93724,22.9,20.0,0.43,29.6,,,,41.0,21.0,,,,,,,edH
1474,461525.32821609994,89624.5071944,9.4,12.0,0.43,22.1,,,,29.0,17.0,,,,,,,L.epIII-H
64,462973.37611300003,89629.84339519998,12.4,0.5,0.44,55.0,1.74,2.77,1.4680000000000002,82.0,33.0,,,,1.12,,N,L.epIII-H
83,469173.54256,90223.9658472,2.5,0.34,0.44,42.0,1.82,2.76,,61.0,27.0,,,,,,,L.epII
19?,470776.46431600006,90328.6728944,3.45,32.33852106,0.4498903520000001,41.7,1.785,2.839440653,1.254054569,59.48973242,27.15121136,,,,1.259703599,,N,L.epI
1441,461080.8462775,89787.1094104,7.1,17.0,0.45,26.7,,,,36.0,19.0,,,,,,,edH
1460,460777.6380361,89681.79071439998,14.4,19.0,0.45,25.5,,,,36.0,17.0,,,,,,,L.epIII-H
109,462054.69961300003,89683.9990744,0.2,19.8,0.46,20.0,1.85,,,42.2,22.4,,,,1.35,,,L.epIII-H
124,464084.86706161,89685.93007776799,3.8,28.1,0.46,45.3,1.75,2.76,1.287,60.6,32.5,,,,1.2,,N,edH
1436,460331.5174786,89791.45921039997,9.5,39.0,0.46,59.1,,,,80.0,41.0,,,,,,,mIIIkg
1505,460285.86488109996,89815.9439,5.5,31.0,0.46,59.2,,,,76.0,45.0,,,,,,,mHn
40,471539.67825399997,90207.0658704,1.0,0.34,0.47,43.0,1.74,2.76,,61.0,27.0,,,,,,,edH
125,464098.19537026,89690.80981724801,2.8,23.0,0.47,40.0,1.81,2.72,1.1,52.0,29.0,,,,1.29,,N,edH
1436,460331.5174786,89791.45921039997,8.0,37.0,0.47,55.4,,,,75.0,38.0,,,,,,,mIIIkg
1449,460628.4449725,89736.4509704,11.6,17.0,0.47,27.0,,,,36.0,19.0,,,,,,,L.epIII-H
1459,460637.68048359995,89682.3126904,9.2,17.0,0.47,28.0,,,,37.0,20.0,,,,,,,L.epIII-H
1482,461523.1233925,89570.64864,7.2,25.0,0.47,36.7,,,,50.0,25.0,,,,,,,pH
1510,460297.4889511,89785.80447039998,9.8,26.0,0.48,48.6,,,,62.0,36.0,,,,,,,mHn
65,462973.37611300003,89629.84339519998,7.8,0.51,0.49,58.0,1.74,2.77,,84.0,33.0,,,,,,,L.epIII-H
113,472012.44043,90217.0543496,12.7,0.37,0.49,46.0,1.47,2.77,1.751,65.0,28.0,,,,1.01,,N,
125,464098.19537026,89690.80981724801,4.7,25.4,0.49,39.6,1.82,2.72,1.086,52.6,27.2,,,,1.3,,N,edH
306,461238.95612770005,89789.87320639998,20.0,14.7,0.49,24.6,1.86,2.74,0.835,32.1,17.4,,,,1.49,,Q,L.epI
39,471601.81078299996,90208.71611760001,4.3,0.32,0.5,43.0,1.76,2.46,,49.0,27.0,,,,,,,edH
90,467873.78404899995,90245.9129304,3.9,0.4,0.5,50.0,1.74,2.77,1.388,70.0,30.0,,,,1.16,,N,L.epI
123,463939.598809,89632.98060479997,9.8,42.0,0.5,66.0,1.58,2.68,1.82,87.0,45.0,,,,0.95,,N,edH
8?,472048.25381470006,90047.18328320001,4.73,27.6780529,0.520217549,47.05,1.675,2.713978435,1.3826300230000002,60.32944406,32.65139116,,,,1.139068344,,N,L.epIII-H
75,471184.319185,90198.5817528,6.45,0.34,0.53,45.0,1.75,2.76,,61.0,27.0,,,,,,,edH
66,462973.37611300003,89629.84339519998,13.0,0.29,0.55,42.0,1.78,2.75,1.194,55.0,26.0,,,,1.25,,Q,L.epIII-H
125,464098.19537026,89690.80981724801,6.9,24.0,0.55,44.0,1.81,2.74,1.18,55.0,31.0,,,,1.26,,N,edH
71,462973.37611300003,89629.84339519998,6.5,0.43,0.56,55.0,1.65,2.77,1.602,74.0,31.0,,,,1.06,,N,L.epIII-H
303,460584.0110275,89827.98013119998,7.3,41.7,0.58,59.2,1.63,2.77,1.705,76.9,35.2,,,,1.02,,N,mIIIkg
1567,460637.3992561,89598.68811999998,0.8,12.0,0.58,26.0,,,,31.0,19.0,,,,,,,mIIIkg
124,464084.86706161,89685.93007776799,2.6,23.0,0.6,43.0,1.8,2.72,1.16,52.0,29.0,,,,1.26,,N,edH
132,464817.666058,89884.48336399999,9.9,17.0,0.64,35.0,1.73,2.71,1.11,41.0,24.0,,,,1.28,,N,edH
1565,460667.11562859995,89574.12848,0.7,16.0,0.68,29.8,,,,35.0,19.0,,,,,,,mIIIkg
64,462973.37611300003,89629.84339519998,2.4,0.18,0.72,89.0,1.47,2.76,2.549,94.0,76.0,,,,0.78,,N,L.epIII-H
130,464544.9991231,89835.4069128,6.2,25.6,0.72,43.3,1.75,2.71,1.263,50.5,24.9,,,,1.22,,N,pH
544,463996.90847386,89687.69930872801,2.6,20.8,0.73,35.9,1.85,2.77,1.033,41.5,20.7,,,,1.36,,N,edH
113,472012.44043,90217.0543496,4.35,0.56,0.77,78.0,1.47,2.77,2.354,91.0,35.0,,,,0.83,,N,
136,464932.74435100006,90054.1791,8.8,4.0,0.78,18.0,2.11,2.67,0.49,19.0,15.0,,,,1.79,,Q,L.epI
1397,460463.2706875,89760.60909039999,7.0,25.0,,21.9,,,,47.0,22.0,,,,,,,L.epIII-H
148,466191.931108,90181.9507944,7.0,1e-05,,3.0,,2.65,,,,,,,,,,pH
148,466191.931108,90181.9507944,12.7,1e-05,,4.0,,2.65,,,,,,,,,,pH
149,466210.679608,90181.7834944,4.7,1e-05,,2.0,,2.65,,,,,,,,,,pH
149,466210.679608,90181.7834944,6.1,1e-05,,2.0,,2.65,,,,,,,,,,pH
150,466289.1083332,90181.0634352,4.2,1e-05,,13.9,,2.66,,,,,,,,,,L.epI
150,466289.1083332,90181.0634352,7.0,1e-05,,23.8,,2.66,,,,,,,,,,L.epI
153,467213.71010914,90273.60691582398,7.8,1e-05,,9.0,,2.66,,,,,,,,,,L.epII
155,467444.5795131101,90288.84298036,22.0,1e-05,,4.3,,2.66,,,,,,,,,,pH
156,467860.17826255,90266.762431912,3.6,1e-05,,23.7,,2.66,,,,,,,,,,L.epI
159,468498.2890846,90262.9587928,7.4,1e-05,,3.7,,2.66,,,,,,,,,,L.epI
162,469909.34994070005,90249.67115760001,8.4,1e-05,,4.8,,2.66,,,,,,,,,,L.epII
163,470171.87393709994,90250.1904568,9.4,1e-05,,10.2,,2.66,,,,,,,,,,L.epI
203,461914.648318,89669.12811199998,19.5,1e-05,,19.2,,2.68,,,,,,,,,,L.epIII-H
238,463156.39897,89215.96862479998,4.8,1e-05,,19.7,,2.66,,,,,,,,,,L.epI
301,460258.6683070001,89840.70563839997,2.6,0.0001,,16.0,,2.69,,,,,,,,,,mHn
305,460998.9003337,89803.83673360001,2.4,0.0001,,0.6,,2.65,,,,,,,,,,edH
1035(15),463020.6748288,89380.1126776,2.5,14.45,-0.465743945,12.57,1.77,2.71,0.726,33.75,19.3,7.58,,,1.57,,Q,L.epIII-H
1168(15),462810.88661320007,89449.00681759998,19.0,8.0,0.5,21.0,2.09,2.72,0.5720000000000001,25.0,17.0,17.0,,,1.73,,Q,L.epIII-H
1035(15),463020.6748288,89380.1126776,4.2,15.95,-0.418181818,14.37,1.8,2.71,0.726,36.99,21.04,5.09,,,1.57,,Q,L.epIII-H
1226(15),463575.14296779997,89348.621464,3.5,14.36,-0.223537604,16.22,1.9,2.71,0.6629999999999999,33.79,19.43,16.1,,,1.63,,Q,L.epIII-H
1801(15),460988.7498958,89840.74579039997,11.7,22.0,0.363636364,34.0,1.9,2.73,0.923,48.0,26.0,19.17,,,1.42,,Q,edH
1245(15),460761.0418639001,89889.47559599997,26.9,17.4,0.143678161,56.1,1.58,2.71,1.683,71.0,53.6,15.23,,,1.01,,N,edH
1164(15),462810.2341654,89440.97641759997,19.5,9.2,0.456521739,19.6,2.08,2.7,0.552,24.6,15.4,20.0,,,1.74,,Q,L.epIII-H
1807(15),460960.71713859995,89853.69481039997,4.4,27.1,0.453874539,44.3,1.73,2.74,1.283,59.1,32.0,9.56,,,1.2,,N,edH
1209(15),463157.91384880006,89359.24836,4.2,10.26,-0.572124756,13.4,1.84,2.7,0.667,29.53,19.27,16.42,,,1.62,,Q,L.epIII-H
1230(15),463688.0201869,89382.29828480001,4.4,10.28,-0.507782101,16.85,1.83,2.7,0.72,32.35,22.07,23.16,,,1.57,,Q,L.epIII-H
1014(15),461065.5512512,89837.63668719998,1.8,22.6,-0.32300885,18.8,1.72,2.73,0.883,48.7,26.1,13.3,,,1.45,,Q,edH
1206(15),462888.1116847,89370.2914984,3.4,11.9,-0.471428571,12.49,1.79,2.7,0.698,30.0,18.1,18.47,,,1.59,,Q,L.epII
1224(15),463502.0163184,89343.2531416,4.5,13.52,-0.171597633,16.59,1.94,2.71,0.633,32.43,18.91,29.02,,,1.66,,Q,L.epIII-H
1121(15),463052.3260465,89416.05674799997,19.5,13.7,0.503649635,24.9,2.02,2.76,0.7040000000000001,31.7,18.0,17.0,,,1.62,,Q,L.epIII-H
-24,471907.23884679994,90343.85838080001,25.5,9.57,0.24,21.6,2.04,2.67,0.5920000000000001,28.84,19.27,24.47,,,1.68,,Q,L.epII
